text,intent,lang,source
ve al pasillo,navigate,es,chatgpt
muévete hacia la puerta,navigate,es,chatgpt
puedes ir a la cocina,navigate,es,chatgpt
dirígete al punto de carga,navigate,es,chatgpt
acércate a esa mesa,navigate,es,chatgpt
ve sin tocar nada hasta la sala,navigate,es,chatgpt
¿puedes desplazarte al área A?,navigate,es,chatgpt
camina hacia el objeto rojo,navigate,es,chatgpt
ir a la esquina,navigate,es,chatgpt
haz navegación hasta la estación,navigate,es,chatgpt
go to the hallway,navigate,en,chatgpt
move over to the door,navigate,en,chatgpt
can you navigate to the kitchen?,navigate,en,chatgpt
head toward the charging dock,navigate,en,chatgpt
approach that table,navigate,en,chatgpt
go there without interacting,navigate,en,chatgpt
could you move to zone B?,navigate,en,chatgpt
walk over near the red object,navigate,en,chatgpt
navigate to point alpha,navigate,en,chatgpt
just go there,navigate,en,chatgpt
recoge el bloque,pick,es,chatgpt
agarra ese objeto,pick,es,chatgpt
puedes levantar la caja azul,pick,es,chatgpt
toma el cilindro,pick,es,chatgpt
coge eso de ahí,pick,es,chatgpt
levanta un objeto cercano,pick,es,chatgpt
¿puedes agarrarlo?,pick,es,chatgpt
recoger objeto rojo,pick,es,chatgpt
haz un pick del cubo,pick,es,chatgpt
toma sin soltarlo,pick,es,chatgpt
pick up the block,pick,en,chatgpt
grab that object,pick,en,chatgpt
can you lift the blue box?,pick,en,chatgpt
take the cylinder,pick,en,chatgpt
pick that up,pick,en,chatgpt
lift a nearby item,pick,en,chatgpt
could you grab it?,pick,en,chatgpt
collect the red object,pick,en,chatgpt
perform a pick action,pick,en,chatgpt
hold that object,pick,en,chatgpt
deja el objeto en la mesa,place,es,chatgpt
suelta eso aquí,place,es,chatgpt
puedes colocar el cubo en la bandeja,place,es,chatgpt
ponlo en el suelo,place,es,chatgpt
deposita el objeto ahí,place,es,chatgpt
deja lo que tienes,place,es,chatgpt
¿puedes soltarlo en la zona?,place,es,chatgpt
coloca el ítem en el contenedor,place,es,chatgpt
release del objeto,place,es,chatgpt
pon eso donde corresponde,place,es,chatgpt
place the object on the table,place,en,chatgpt
drop it here,place,en,chatgpt
